name	selfie	joinDate	referrals
Root	assets/selfies/root.png	2015	Layer1-Node1;Layer1-Node2;Layer1-Node3;Layer1-Node4;Layer1-Node5;Layer1-Node6;Layer1-Node7;Layer1-Node8;Layer1-Node9;Layer1-Node10;Layer1-Node11;Layer1-Node12;Layer1-Node13;Layer1-Node14;Layer1-Node15;Layer1-Node16;Layer1-Node17;Layer1-Node18;Layer1-Node19;Layer1-Node20;Layer1-Node21;Layer1-Node22
Layer1-Node1	assets/selfies/layer1-node1.png	2016	Layer2-Node19;Layer2-Node11;Layer2-Node9
Layer1-Node2	assets/selfies/layer1-node2.png	2016	Layer2-Node4;Layer2-Node12;Layer2-Node17;Layer2-Node18;Layer2-Node8
Layer1-Node3	assets/selfies/layer1-node3.png	2016	Layer2-Node16;Layer2-Node7;Layer2-Node15;Layer2-Node1;Layer2-Node13
Layer1-Node4	assets/selfies/layer1-node4.png	2016	Layer2-Node5
Layer1-Node5	assets/selfies/layer1-node5.png	2016	Layer2-Node2;Layer2-Node10;Layer2-Node3;Layer2-Node14;Layer2-Node6
Layer1-Node6	assets/selfies/layer1-node6.png	2016	Layer3-Node4;Layer3-Node3
Layer1-Node7	assets/selfies/layer1-node7.png	2016	Layer3-Node8
Layer1-Node8	assets/selfies/layer1-node8.png	2016	Layer3-Node6;Layer3-Node10
Layer1-Node9	assets/selfies/layer1-node9.png	2016	Layer3-Node19;Layer3-Node1
Layer1-Node10	assets/selfies/layer1-node10.png	2016	Layer3-Node16;Layer3-Node13;Layer3-Node17
Layer1-Node11	assets/selfies/layer1-node11.png	2016	Layer3-Node2;Layer3-Node12;Layer3-Node14;Layer3-Node11;Layer3-Node9
Layer1-Node12	assets/selfies/layer1-node12.png	2016	Layer3-Node5;Layer3-Node18;Layer3-Node7
Layer1-Node13	assets/selfies/layer1-node13.png	2016	Layer3-Node20;Layer3-Node15;Layer4-Node6
Layer1-Node14	assets/selfies/layer1-node14.png	2016	Layer4-Node4;Layer4-Node2
Layer1-Node15	assets/selfies/layer1-node15.png	2016	Layer4-Node14;Layer4-Node9;Layer4-Node12
Layer1-Node16	assets/selfies/layer1-node16.png	2016	Layer4-Node11
Layer1-Node17	assets/selfies/layer1-node17.png	2016	Layer4-Node3;Layer4-Node8;Layer4-Node5;Layer4-Node7;Layer4-Node1
Layer1-Node18	assets/selfies/layer1-node18.png	2016	Layer4-Node10;Layer4-Node13
Layer1-Node19	assets/selfies/layer1-node19.png	2016	
Layer1-Node20	assets/selfies/layer1-node20.png	2016	
Layer1-Node21	assets/selfies/layer1-node21.png	2016	
Layer1-Node22	assets/selfies/layer1-node22.png	2016	
Layer2-Node1	assets/selfies/layer2-node1.png	2017	Layer5-Node20;Layer5-Node13;Layer5-Node8;Layer5-Node12
Layer2-Node2	assets/selfies/layer2-node2.png	2017	Layer5-Node10;Layer5-Node18;Layer5-Node7;Layer5-Node2
Layer2-Node3	assets/selfies/layer2-node3.png	2017	Layer5-Node22
Layer2-Node4	assets/selfies/layer2-node4.png	2017	Layer5-Node17;Layer5-Node14;Layer5-Node3;Layer5-Node15;Layer5-Node24
Layer2-Node5	assets/selfies/layer2-node5.png	2017	Layer5-Node9;Layer5-Node21;Layer5-Node5;Layer5-Node6
Layer2-Node6	assets/selfies/layer2-node6.png	2017	Layer5-Node19;Layer5-Node4;Layer5-Node16;Layer5-Node25
Layer2-Node7	assets/selfies/layer2-node7.png	2017	Layer5-Node11;Layer5-Node23;Layer5-Node1
Layer2-Node8	assets/selfies/layer2-node8.png	2017	
Layer2-Node9	assets/selfies/layer2-node9.png	2017	
Layer2-Node10	assets/selfies/layer2-node10.png	2017	
Layer2-Node11	assets/selfies/layer2-node11.png	2017	
Layer2-Node12	assets/selfies/layer2-node12.png	2017	
Layer2-Node13	assets/selfies/layer2-node13.png	2017	
Layer2-Node14	assets/selfies/layer2-node14.png	2017	
Layer2-Node15	assets/selfies/layer2-node15.png	2017	
Layer2-Node16	assets/selfies/layer2-node16.png	2017	
Layer2-Node17	assets/selfies/layer2-node17.png	2017	
Layer2-Node18	assets/selfies/layer2-node18.png	2017	
Layer2-Node19	assets/selfies/layer2-node19.png	2017	
Layer3-Node1	assets/selfies/layer3-node1.png	2018	Layer6-Node10;Layer6-Node14;Layer6-Node12;Layer6-Node8
Layer3-Node2	assets/selfies/layer3-node2.png	2018	Layer6-Node3;Layer6-Node5;Layer6-Node6
Layer3-Node3	assets/selfies/layer3-node3.png	2018	Layer6-Node2;Layer6-Node4;Layer6-Node13;Layer6-Node11;Layer6-Node7
Layer3-Node4	assets/selfies/layer3-node4.png	2018	Layer6-Node15;Layer6-Node16
Layer3-Node5	assets/selfies/layer3-node5.png	2018	Layer6-Node1;Layer6-Node9
Layer3-Node6	assets/selfies/layer3-node6.png	2018	
Layer3-Node7	assets/selfies/layer3-node7.png	2018	
Layer3-Node8	assets/selfies/layer3-node8.png	2018	
Layer3-Node9	assets/selfies/layer3-node9.png	2018	
Layer3-Node10	assets/selfies/layer3-node10.png	2018	
Layer3-Node11	assets/selfies/layer3-node11.png	2018	
Layer3-Node12	assets/selfies/layer3-node12.png	2018	
Layer3-Node13	assets/selfies/layer3-node13.png	2018	
Layer3-Node14	assets/selfies/layer3-node14.png	2018	
Layer3-Node15	assets/selfies/layer3-node15.png	2018	
Layer3-Node16	assets/selfies/layer3-node16.png	2018	
Layer3-Node17	assets/selfies/layer3-node17.png	2018	
Layer3-Node18	assets/selfies/layer3-node18.png	2018	
Layer3-Node19	assets/selfies/layer3-node19.png	2018	
Layer3-Node20	assets/selfies/layer3-node20.png	2018	
Layer4-Node1	assets/selfies/layer4-node1.png	2019	Layer7-Node13
Layer4-Node2	assets/selfies/layer4-node2.png	2019	Layer7-Node16;Layer7-Node20;Layer7-Node12;Layer7-Node1;Layer7-Node6
Layer4-Node3	assets/selfies/layer4-node3.png	2019	Layer7-Node15;Layer7-Node7
Layer4-Node4	assets/selfies/layer4-node4.png	2019	Layer7-Node19
Layer4-Node5	assets/selfies/layer4-node5.png	2019	Layer7-Node8;Layer7-Node9;Layer7-Node10
Layer4-Node6	assets/selfies/layer4-node6.png	2019	Layer7-Node14;Layer7-Node21;Layer7-Node2;Layer7-Node5
Layer4-Node7	assets/selfies/layer4-node7.png	2019	Layer7-Node17;Layer7-Node18
Layer4-Node8	assets/selfies/layer4-node8.png	2019	Layer7-Node11;Layer7-Node4;Layer7-Node3
Layer4-Node9	assets/selfies/layer4-node9.png	2019	
Layer4-Node10	assets/selfies/layer4-node10.png	2019	
Layer4-Node11	assets/selfies/layer4-node11.png	2019	
Layer4-Node12	assets/selfies/layer4-node12.png	2019	
Layer4-Node13	assets/selfies/layer4-node13.png	2019	
Layer4-Node14	assets/selfies/layer4-node14.png	2019	
Layer5-Node1	assets/selfies/layer5-node1.png	2020	Layer8-Node13;Layer8-Node27
Layer5-Node2	assets/selfies/layer5-node2.png	2020	Layer8-Node23;Layer8-Node11;Layer8-Node2;Layer8-Node9
Layer5-Node3	assets/selfies/layer5-node3.png	2020	Layer8-Node5;Layer8-Node8
Layer5-Node4	assets/selfies/layer5-node4.png	2020	Layer8-Node3
Layer5-Node5	assets/selfies/layer5-node5.png	2020	Layer8-Node28;Layer8-Node25;Layer8-Node15;Layer8-Node26
Layer5-Node6	assets/selfies/layer5-node6.png	2020	Layer8-Node1;Layer8-Node18;Layer8-Node7
Layer5-Node7	assets/selfies/layer5-node7.png	2020	Layer8-Node14
Layer5-Node8	assets/selfies/layer5-node8.png	2020	Layer8-Node17
Layer5-Node9	assets/selfies/layer5-node9.png	2020	Layer8-Node12;Layer8-Node10;Layer8-Node29;Layer8-Node6;Layer8-Node20
Layer5-Node10	assets/selfies/layer5-node10.png	2020	Layer8-Node21;Layer8-Node19;Layer8-Node4
Layer5-Node11	assets/selfies/layer5-node11.png	2020	Layer8-Node16
Layer5-Node12	assets/selfies/layer5-node12.png	2020	Layer8-Node24;Layer8-Node22
Layer5-Node13	assets/selfies/layer5-node13.png	2020	
Layer5-Node14	assets/selfies/layer5-node14.png	2020	
Layer5-Node15	assets/selfies/layer5-node15.png	2020	
Layer5-Node16	assets/selfies/layer5-node16.png	2020	
Layer5-Node17	assets/selfies/layer5-node17.png	2020	
Layer5-Node18	assets/selfies/layer5-node18.png	2020	
Layer5-Node19	assets/selfies/layer5-node19.png	2020	
Layer5-Node20	assets/selfies/layer5-node20.png	2020	
Layer5-Node21	assets/selfies/layer5-node21.png	2020	
Layer5-Node22	assets/selfies/layer5-node22.png	2020	
Layer5-Node23	assets/selfies/layer5-node23.png	2020	
Layer5-Node24	assets/selfies/layer5-node24.png	2020	
Layer5-Node25	assets/selfies/layer5-node25.png	2020	
Layer6-Node1	assets/selfies/layer6-node1.png	2021	
Layer6-Node2	assets/selfies/layer6-node2.png	2021	
Layer6-Node3	assets/selfies/layer6-node3.png	2021	
Layer6-Node4	assets/selfies/layer6-node4.png	2021	
Layer6-Node5	assets/selfies/layer6-node5.png	2021	
Layer6-Node6	assets/selfies/layer6-node6.png	2021	
Layer6-Node7	assets/selfies/layer6-node7.png	2021	
Layer6-Node8	assets/selfies/layer6-node8.png	2021	
Layer6-Node9	assets/selfies/layer6-node9.png	2021	
Layer6-Node10	assets/selfies/layer6-node10.png	2021	
Layer6-Node11	assets/selfies/layer6-node11.png	2021	
Layer6-Node12	assets/selfies/layer6-node12.png	2021	
Layer6-Node13	assets/selfies/layer6-node13.png	2021	
Layer6-Node14	assets/selfies/layer6-node14.png	2021	
Layer6-Node15	assets/selfies/layer6-node15.png	2021	
Layer6-Node16	assets/selfies/layer6-node16.png	2021	
Layer7-Node1	assets/selfies/layer7-node1.png	2022	
Layer7-Node2	assets/selfies/layer7-node2.png	2022	
Layer7-Node3	assets/selfies/layer7-node3.png	2022	
Layer7-Node4	assets/selfies/layer7-node4.png	2022	
Layer7-Node5	assets/selfies/layer7-node5.png	2022	
Layer7-Node6	assets/selfies/layer7-node6.png	2022	
Layer7-Node7	assets/selfies/layer7-node7.png	2022	
Layer7-Node8	assets/selfies/layer7-node8.png	2022	
Layer7-Node9	assets/selfies/layer7-node9.png	2022	
Layer7-Node10	assets/selfies/layer7-node10.png	2022	
Layer7-Node11	assets/selfies/layer7-node11.png	2022	
Layer7-Node12	assets/selfies/layer7-node12.png	2022	
Layer7-Node13	assets/selfies/layer7-node13.png	2022	
Layer7-Node14	assets/selfies/layer7-node14.png	2022	
Layer7-Node15	assets/selfies/layer7-node15.png	2022	
Layer7-Node16	assets/selfies/layer7-node16.png	2022	
Layer7-Node17	assets/selfies/layer7-node17.png	2022	
Layer7-Node18	assets/selfies/layer7-node18.png	2022	
Layer7-Node19	assets/selfies/layer7-node19.png	2022	
Layer7-Node20	assets/selfies/layer7-node20.png	2022	
Layer7-Node21	assets/selfies/layer7-node21.png	2022	
Layer8-Node1	assets/selfies/layer8-node1.png	2023	
Layer8-Node2	assets/selfies/layer8-node2.png	2023	
Layer8-Node3	assets/selfies/layer8-node3.png	2023	
Layer8-Node4	assets/selfies/layer8-node4.png	2023	
Layer8-Node5	assets/selfies/layer8-node5.png	2023	
Layer8-Node6	assets/selfies/layer8-node6.png	2023	
Layer8-Node7	assets/selfies/layer8-node7.png	2023	
Layer8-Node8	assets/selfies/layer8-node8.png	2023	
Layer8-Node9	assets/selfies/layer8-node9.png	2023	
Layer8-Node10	assets/selfies/layer8-node10.png	2023	
Layer8-Node11	assets/selfies/layer8-node11.png	2023	
Layer8-Node12	assets/selfies/layer8-node12.png	2023	
Layer8-Node13	assets/selfies/layer8-node13.png	2023	
Layer8-Node14	assets/selfies/layer8-node14.png	2023	
Layer8-Node15	assets/selfies/layer8-node15.png	2023	
Layer8-Node16	assets/selfies/layer8-node16.png	2023	
Layer8-Node17	assets/selfies/layer8-node17.png	2023	
Layer8-Node18	assets/selfies/layer8-node18.png	2023	
Layer8-Node19	assets/selfies/layer8-node19.png	2023	
Layer8-Node20	assets/selfies/layer8-node20.png	2023	
Layer8-Node21	assets/selfies/layer8-node21.png	2023	
Layer8-Node22	assets/selfies/layer8-node22.png	2023	
Layer8-Node23	assets/selfies/layer8-node23.png	2023	
Layer8-Node24	assets/selfies/layer8-node24.png	2023	
Layer8-Node25	assets/selfies/layer8-node25.png	2023	
Layer8-Node26	assets/selfies/layer8-node26.png	2023	
Layer8-Node27	assets/selfies/layer8-node27.png	2023	
Layer8-Node28	assets/selfies/layer8-node28.png	2023	
Layer8-Node29	assets/selfies/layer8-node29.png	2023	
